id,trial,cond_num,dec,Loss,Gain,practice_trial,RT,gain_cond,loss_cond,FT_gain,FT_loss,FN_gains,FN_losses,last_fix_t,left,first,t_gains,t_losses,conf,conf_RT,dec_NR,check_trials,check_correct,n_cc,flag
1,44,4,1,-10,37,0,1344,1,0,600,400,1,2,342,0,0,600,742,5,868,2,0,0,4,0
1,10,5,0,-29,37,0,1844,1,1,800,400,2,2,242,1,0,1042,800,5,821,1,0,0,4,0
1,43,4,0,-29,23,0,1086,0,1,600,400,1,2,79,0,0,600,479,7,946,1,0,0,4,0
1,4,2,0,-20,33,0,1324,1,1,400,600,2,1,321,1,1,721,600,5,1526,1,0,0,4,0
1,1,3,1,-10,30,1,2680,1,0,400,800,2,3,277,0,0,800,1877,3,4699,2,0,0,4,0
1,7,3,1,-18,22,0,1641,0,0,400,800,2,2,31,0,1,800,831,3,775,2,0,0,4,0
1,40,2,1,-15,35,0,1097,1,0,400,600,2,1,95,1,1,495,600,6,979,2,0,0,4,0
1,14,5,1,-10,30,0,1745,1,0,800,400,2,1,531,1,1,1331,400,5,1013,2,0,0,4,0
1,38,4,0,-21,39,0,1391,1,1,600,400,2,1,376,1,1,976,400,5,606,1,0,0,4,0
1,47,1,0,-29,26,0,2187,0,1,400,400,3,3,175,1,1,1200,975,5,2400,1,0,0,4,0
1,8,1,0,-30,0,0,1344,0,0,400,400,2,2,142,0,1,800,542,7,1506,1,1,1,4,0
1,11,1,1,0,40,0,1166,0,0,400,400,1,2,355,1,0,400,755,7,1062,2,1,1,4,0
1,15,3,0,-28,29,0,1184,0,1,400,800,1,1,773,0,1,400,773,2,763,1,0,0,4,0
1,30,2,0,-20,22,0,2017,0,1,400,600,3,2,16,1,1,816,1200,6,821,1,0,0,4,0
1,39,4,0,-11,23,0,1571,0,0,600,400,2,1,557,0,1,1157,400,4,396,1,0,0,4,0
1,36,2,0,-29,37,0,1273,1,1,400,600,2,1,269,1,1,669,600,6,758,1,0,0,4,0
1,27,3,1,-11,30,0,1550,1,0,400,800,1,2,345,1,0,400,1145,5,591,2,0,0,4,0
1,24,1,0,-24,39,0,1186,1,1,400,400,1,2,382,0,0,400,782,4,681,1,0,0,4,0
1,42,1,1,0,40,0,1102,0,0,400,400,2,1,300,0,1,700,400,7,797,2,1,1,4,0
1,28,1,0,-13,24,0,1168,0,0,400,400,1,2,355,1,0,400,755,5,734,1,0,0,4,0
1,5,4,0,-26,25,0,1435,0,1,600,400,2,2,34,1,0,634,800,6,1498,1,0,0,4,0
1,25,3,0,-17,31,0,1405,1,0,400,800,1,2,200,1,0,400,1000,3,672,1,0,0,4,0
1,12,5,1,-16,27,0,1660,0,0,800,400,2,1,461,1,1,1261,400,4,443,2,0,0,4,0
1,13,2,1,-17,27,0,1147,0,0,400,600,2,1,145,0,1,545,600,3,581,2,0,0,4,0
1,6,3,0,-23,31,0,1654,1,1,400,800,2,2,46,1,1,800,846,5,1011,1,0,0,4,0
1,9,1,1,-18,37,0,1531,1,0,400,400,2,2,330,1,0,730,800,5,542,2,0,0,4,0
1,35,5,1,-16,31,0,1365,1,0,800,400,2,1,150,1,1,950,400,5,823,2,0,0,4,0
1,19,5,0,-22,28,0,1692,0,1,800,400,2,1,482,0,1,1282,400,6,885,1,0,0,4,0
1,33,1,0,-30,0,0,1404,0,0,400,400,2,2,200,1,0,600,800,7,822,1,1,1,4,0
1,16,2,1,-16,34,0,1405,1,0,400,600,1,2,400,0,0,400,1000,4,404,2,0,0,4,0
1,21,1,0,-22,23,0,1394,0,1,400,400,2,2,182,0,1,800,582,6,651,1,0,0,4,0
1,18,2,0,-27,27,0,1537,0,1,400,600,1,2,531,1,0,400,1131,2,1225,1,0,0,4,0
1,32,5,0,-23,25,0,1030,0,1,800,400,1,1,629,1,0,629,400,7,986,1,0,0,4,0
1,34,3,1,-10,22,0,1722,0,0,400,800,2,2,112,1,1,800,912,3,573,2,0,0,4,0
1,29,5,0,-24,36,0,1036,1,1,800,400,1,1,630,1,0,630,400,3,671,1,0,0,4,0
1,2,1,1,-14,38,1,3755,1,0,400,400,5,5,151,1,1,2000,1751,4,2232,2,0,0,4,0
1,26,3,0,-25,34,0,1476,1,1,400,800,1,2,269,1,0,400,1069,2,785,1,0,0,4,0
1,41,5,0,-10,23,0,1290,0,0,800,400,2,1,89,1,1,889,400,4,369,1,0,0,4,0
1,46,2,1,-16,29,0,1611,0,0,400,600,2,2,3,0,0,403,1200,4,40537,2,0,0,4,0
1,31,1,0,-28,36,0,1195,1,1,400,400,2,1,389,0,1,789,400,2,754,1,0,0,4,0
1,3,2,,-11,35,1,6001,1,0,400,600,6,6,,0,0,2400,3600,,,0,0,0,4,0
1,37,3,0,-27,22,0,1499,0,1,400,800,1,2,296,0,0,400,1096,7,791,1,0,0,4,0
1,22,4,1,-10,30,0,1519,1,0,600,400,2,1,506,1,1,1106,400,5,689,2,0,0,4,0
1,45,1,1,-14,36,0,1071,1,0,400,400,2,1,258,1,1,658,400,4,642,2,0,0,4,0
1,17,4,0,-29,34,0,1396,1,1,600,400,2,1,393,1,1,993,400,3,1265,1,0,0,4,0
1,23,4,0,-16,25,0,1492,0,0,600,400,2,1,493,1,1,1093,400,4,284,1,0,0,4,0
1,20,1,0,-11,20,0,1114,0,0,400,400,2,1,314,0,1,714,400,5,699,1,0,0,4,0
2,15,2,1,-11,32,0,919,1,0,400,600,1,1,519,1,1,400,519,6,680,2,0,0,4,0
2,46,2,1,-11,35,0,827,1,0,400,600,1,1,427,0,1,400,427,6,345,2,0,0,4,0
2,1,4,1,-24,21,1,2075,0,1,600,400,3,2,75,1,1,1275,800,5,2514,2,0,0,4,0
2,19,1,1,0,40,0,753,0,0,400,400,1,1,353,1,0,353,400,7,507,2,1,1,4,0
2,44,3,1,-13,27,0,1636,0,0,400,800,2,2,36,1,1,800,836,6,541,2,0,0,4,0
2,28,5,1,-24,35,0,1283,1,1,800,400,2,1,82,1,1,882,400,5,366,2,0,0,4,0
2,24,2,0,-23,23,0,1582,0,1,400,600,1,2,583,1,0,400,1183,3,481,1,0,0,4,0
2,42,4,1,-12,22,0,2131,0,0,600,400,3,2,131,0,1,1331,800,5,473,2,0,0,4,0
2,29,3,1,-21,31,0,884,1,1,400,800,1,1,485,1,1,400,485,5,487,2,0,0,4,0
2,23,4,1,-26,34,0,1551,1,1,600,400,2,2,152,1,0,752,800,5,602,2,0,0,4,0
2,26,1,0,-16,22,0,2137,0,0,400,400,3,3,136,1,0,936,1200,3,342,1,0,0,4,0
2,30,2,1,-22,36,0,1203,1,1,400,600,2,1,202,1,1,602,600,5,522,2,0,0,4,0
2,33,5,1,-10,25,0,1542,0,0,800,400,2,1,342,1,1,1142,400,6,553,2,0,0,4,0
2,12,3,1,-23,32,0,1775,1,1,400,800,1,2,576,0,0,400,1376,5,516,2,0,0,4,0
2,31,2,1,-11,24,0,2533,0,0,400,600,3,3,134,1,1,1200,1334,5,281,2,0,0,4,0
2,6,1,0,-26,25,0,1850,0,1,400,400,3,2,251,0,1,1051,800,3,474,1,0,0,4,0
2,41,4,0,-25,28,0,2502,0,1,600,400,3,3,102,0,0,1302,1200,4,903,1,0,0,4,0
2,17,5,1,-11,39,0,1733,1,0,800,400,2,2,133,0,0,933,800,7,634,2,0,0,4,0
2,3,5,0,-16,22,1,2231,0,0,800,400,2,2,232,0,1,1600,632,3,1869,1,0,0,4,0
2,5,2,1,-16,28,0,2674,0,0,400,600,3,3,74,1,0,874,1800,5,1162,2,0,0,4,0
2,2,1,1,-19,21,1,835,0,0,400,400,2,1,37,1,1,437,400,6,2191,2,0,0,4,0
2,21,4,1,-10,26,0,1139,0,0,600,400,2,1,140,1,1,740,400,6,594,2,0,0,4,0
2,34,5,1,-18,30,0,1375,1,0,800,400,2,1,175,1,1,975,400,6,531,2,0,0,4,0
2,4,3,1,-15,25,0,2154,0,0,400,800,2,2,555,1,1,800,1355,5,1383,2,0,0,4,0
2,20,3,1,-24,23,0,1389,0,1,400,800,2,1,188,0,1,588,800,4,111,2,0,0,4,0
2,25,1,1,-20,30,0,1290,1,1,400,400,2,2,90,1,0,490,800,5,419,2,0,0,4,0
2,47,1,0,-28,20,0,1267,0,1,400,400,2,2,68,1,0,468,800,2,591,1,0,0,4,0
2,14,5,0,-19,23,0,2984,0,0,800,400,3,2,585,0,1,2185,800,3,639,1,0,0,4,0
2,45,1,1,-24,36,0,1628,1,1,400,400,3,2,28,0,1,828,800,5,456,2,0,0,4,0
2,35,1,0,-30,0,0,2805,0,0,400,400,4,4,6,0,1,1600,1206,1,588,1,1,1,4,0
2,10,1,1,-17,38,0,1758,1,0,400,400,3,2,158,1,1,958,800,5,451,2,0,0,4,0
2,40,1,1,0,40,0,643,0,0,400,400,1,1,243,1,0,243,400,7,599,2,1,1,4,0
2,16,5,0,-21,21,0,2451,0,1,800,400,3,2,50,1,1,1650,800,4,565,1,0,0,4,0
2,9,3,1,-14,39,0,1739,1,0,400,800,1,2,541,0,0,400,1341,6,484,2,0,0,4,0
2,39,4,1,-24,39,0,1135,1,1,600,400,2,1,135,1,1,735,400,6,553,2,0,0,4,0
